RxCUI,TTY,RxNorm Description,Related BN,Related SCDC,Related DF
198071,SCD,PENICILLAMINE 250 MG ORAL TABLET,,PENICILLAMINE 250 MG,ORAL TABLET
207369,SBD,PENICILLAMINE 250 MG ORAL CAPSULE [CUPRIMINE],CUPRIMINE,PENICILLAMINE 250 MG,ORAL CAPSULE
207370,SBD,PENICILLAMINE 250 MG ORAL TABLET [DEPEN],DEPEN,PENICILLAMINE 250 MG,ORAL TABLET
731541,SBD,2 ML PENICILLIN G BENZATHINE 300000 UNT/ML / PENICILLIN G PROCAINE 300000 UNT/ML PREFILLED SYRINGE [BICILLIN],BICILLIN,PENICILLIN G BENZATHINE 300000 UNT/ML / PENICILLIN G PROCAINE 300000 UNT/ML,PREFILLED SYRINGE
836307,SBD,2 ML PENICILLIN G BENZATHINE 450000 UNT/ML / PENICILLIN G PROCAINE 150000 UNT/ML PREFILLED SYRINGE [BICILLIN],BICILLIN,PENICILLIN G BENZATHINE 450000 UNT/ML / PENICILLIN G PROCAINE 150000 UNT/ML,PREFILLED SYRINGE
731566,SBD,1 ML PENICILLIN G BENZATHINE 600000 UNT/ML PREFILLED SYRINGE [BICILLIN L-A],BICILLIN L-A,PENICILLIN G BENZATHINE 600000 UNT/ML,PREFILLED SYRINGE
731568,SBD,2 ML PENICILLIN G BENZATHINE 600000 UNT/ML PREFILLED SYRINGE [BICILLIN L-A],BICILLIN L-A,PENICILLIN G BENZATHINE 600000 UNT/ML,PREFILLED SYRINGE
731571,SBD,4 ML PENICILLIN G BENZATHINE 600000 UNT/ML PREFILLED SYRINGE [BICILLIN L-A],BICILLIN L-A,PENICILLIN G BENZATHINE 600000 UNT/ML,PREFILLED SYRINGE
863538,SCD,PENICILLIN G POTASSIUM 1000000 UNT/ML INJECTABLE SOLUTION,,PENICILLIN G POTASSIUM 1000000 UNT/ML,INJECTABLE SOLUTION
204466,SCD,50 ML PENICILLIN G POTASSIUM 40000 UNT/ML INJECTION,,PENICILLIN G POTASSIUM 40000 UNT/ML,INJECTION
207391,SCD,50 ML PENICILLIN G POTASSIUM 60000 UNT/ML INJECTION,,PENICILLIN G POTASSIUM 60000 UNT/ML,INJECTION
745302,SCD,PENICILLIN G SODIUM 100000 UNT/ML INJECTABLE SOLUTION,,PENICILLIN G SODIUM 100000 UNT/ML,INJECTABLE SOLUTION
834046,SCD,PENICILLIN V POTASSIUM 25 MG/ML ORAL SOLUTION,,PENICILLIN V POTASSIUM 25 MG/ML,ORAL SOLUTION
834061,SCD,PENICILLIN V POTASSIUM 250 MG ORAL TABLET,,PENICILLIN V POTASSIUM 250 MG,ORAL TABLET
834040,SCD,PENICILLIN V POTASSIUM 50 MG/ML ORAL SOLUTION,,PENICILLIN V POTASSIUM 50 MG/ML,ORAL SOLUTION
834102,SCD,PENICILLIN V POTASSIUM 500 MG ORAL TABLET,,PENICILLIN V POTASSIUM 500 MG,ORAL TABLET
861601,SCD,PENTAMIDINE ISETHIONATE 300 MG INJECTION,,PENTAMIDINE ISETHIONATE 300 MG,INJECTION
